State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,Yield,Rainfall..mm.,Soil Ph Level,high Temp,low Temp,MeanTemperature,Air humidity,,,,,,,,,,,
Maharashtra,SOLAPUR,2008,Kharif     ,Sugarcane,117500,9954400,84.72,916.9,2,40,14,26,59,,,,,,,,,,,
Maharashtra,SOLAPUR,2008,Whole Year ,Sugarcane,117500,9954400,84.72,916.9,2,40,14,26,59,,,,,,,,,,,
Maharashtra,SOLAPUR,2009,Kharif     ,Sugarcane,107300,9932600,92.57,941.7,2,40,14,26,59,,,,,,,,,,,
Uttar Pradesh,SITAPUR,2014,Kharif     ,Sugarcane,148655,9903396,66.62,486.9,1,43,38,32,71,,,,,,,,,,,
Maharashtra,KOLHAPUR,2009,Kharif     ,Sugarcane,112700,9810000,87.05,941.7,2,36,13,24,67,,,,,,,,,,,
West Bengal,COOCHBEHAR,2006,Whole Year ,Coconut ,750,975000,1300,2262.1,0,34,29,26,77,,,,,,,,,,,
Maharashtra,SOLAPUR,2012,Whole Year ,Sugarcane,144200,9716600,67.38,689.8,2,40,14,26,59,,,,,,,,,,,
Maharashtra,AHMEDNAGAR,2013,Whole Year ,Sugarcane,110800,9643600,87.04,962.4,0,40,14,26,59,,,,,,,,,,,
Uttar Pradesh,MEERUT,2013,Kharif     ,Sugarcane,135532,9643373,71.15,932.8,1,40,8,26,63,,,,,,,,,,,
Uttar Pradesh,MEERUT,2014,Kharif     ,Sugarcane,121109,9506088,78.49,486.9,1,40,8,26,63,,,,,,,,,,,
Uttar Pradesh,MEERUT,2007,Kharif     ,Sugarcane,136578,9501458,69.57,572.5,1,40,8,26,63,,,,,,,,,,,
Uttar Pradesh,SITAPUR,2013,Kharif     ,Sugarcane,144143,9322593,64.68,932.8,1,43,38,32,71,,,,,,,,,,,
Maharashtra,KOLHAPUR,2001,Whole Year ,Sugarcane,101900,9196600,90.25,785.1,2,36,13,24,67,,,,,,,,,,,
Gujarat,SURAT,2006,Whole Year ,Sugarcane,119600,9147000,76.48,1478,1,42,12,28,54,,,,,,,,,,,
Maharashtra,PUNE,2009,Kharif     ,Sugarcane,95600,9112100,95.31,941.7,2,31,16,23,65,,,,,,,,,,,
Gujarat,SURAT,2004,Whole Year ,Sugarcane,116500,9071000,77.86,1005.8,1,42,12,28,54,,,,,,,,,,,
Uttar Pradesh,MEERUT,2012,Kharif     ,Sugarcane,132541,9023391,68.08,389.6,1,40,8,26,63,,,,,,,,,,,
Gujarat,SURAT,2007,Whole Year ,Sugarcane,125900,9020000,71.64,1178.9,1,42,12,28,54,,,,,,,,,,,
Uttar Pradesh,MEERUT,2006,Kharif     ,Sugarcane,128829,8928365,69.3,529.3,1,40,8,26,63,,,,,,,,,,,
Uttar Pradesh,MEERUT,2005,Kharif     ,Sugarcane,129623,8792587,67.83,725.7,1,40,8,26,63,,,,,,,,,,,
Uttar Pradesh,MEERUT,2004,Kharif     ,Sugarcane,128829,8762949,68.02,642.3,1,40,8,26,63,,,,,,,,,,,
Uttar Pradesh,SAHARANPUR,2005,Kharif     ,Sugarcane,140825,8715378,61.89,725.7,1,42,8,26,61,,,,,,,,,,,
Uttar Pradesh,SAHARANPUR,2006,Kharif     ,Sugarcane,137615,8692314,63.16,529.3,1,42,8,26,61,,,,,,,,,,,
Uttar Pradesh,SAHARANPUR,2010,Kharif     ,Sugarcane,142703,8686617,60.87,820.7,1,42,8,26,61,,,,,,,,,,,
Uttar Pradesh,MEERUT,2010,Kharif     ,Sugarcane,129711,8560407,66,820.7,1,40,8,26,63,,,,,,,,,,,
Uttar Pradesh,SAHARANPUR,2012,Kharif     ,Sugarcane,137383,8557312,62.29,389.6,1,42,8,26,61,,,,,,,,,,,
Gujarat,SURAT,2001,Whole Year ,Sugarcane,113600,8521000,75.01,849,1,42,12,28,54,,,,,,,,,,,
Maharashtra,KOLHAPUR,2008,Kharif     ,Sugarcane,102500,8461300,82.55,916.9,2,36,13,24,67,,,,,,,,,,,
Maharashtra,KOLHAPUR,2008,Whole Year ,Sugarcane,102500,8461300,82.55,916.9,2,36,13,24,67,,,,,,,,,,,
Uttar Pradesh,SITAPUR,2012,Kharif     ,Sugarcane,133669,8443069,63.16,389.6,1,43,38,32,71,,,,,,,,,,,
Uttar Pradesh,SAHARANPUR,2013,Kharif     ,Sugarcane,136450,8432610,61.8,932.8,1,42,8,26,61,,,,,,,,,,,
Uttar Pradesh,MEERUT,2009,Kharif     ,Sugarcane,128483,8430027,65.61,549.2,1,40,8,26,63,,,,,,,,,,,
Maharashtra,KOLHAPUR,2002,Whole Year ,Sugarcane,98400,8421000,85.58,740.3,2,36,13,24,67,,,,,,,,,,,
Uttar Pradesh,SAHARANPUR,2007,Kharif     ,Sugarcane,132262,8368481,63.27,572.5,1,42,8,26,61,,,,,,,,,,,
Maharashtra,PUNE,2008,Kharif     ,Sugarcane,85600,8332800,97.35,916.9,2,31,16,23,65,,,,,,,,,,,
Maharashtra,PUNE,2008,Whole Year ,Sugarcane,85600,8332800,97.35,916.9,2,31,16,23,65,,,,,,,,,,,
Gujarat,SURAT,2002,Whole Year ,Sugarcane,118300,8304000,70.19,637.2,1,42,12,28,54,,,,,,,,,,,
Uttar Pradesh,MEERUT,2003,Whole Year ,Sugarcane,128721,8302505,64.5,1047.5,1,40,8,26,63,,,,,,,,,,,
Uttar Pradesh,MEERUT,2011,Kharif     ,Sugarcane,130586,8236843,63.08,777.4,1,40,8,26,63,,,,,,,,,,,
Maharashtra,AHMEDNAGAR,2012,Whole Year ,Sugarcane,115500,8235700,71.3,689.8,0,40,14,26,59,,,,,,,,,,,
Uttar Pradesh,MEERUT,2008,Kharif     ,Sugarcane,129457,8221037,63.5,799.8,1,40,8,26,63,,,,,,,,,,,
Uttar Pradesh,SAHARANPUR,2003,Whole Year ,Sugarcane,133770,8199566,61.3,1047.5,1,42,8,26,61,,,,,,,,,,,
Uttar Pradesh,SAHARANPUR,2014,Kharif     ,Sugarcane,124052,8169569,65.86,486.9,1,42,8,26,61,,,,,,,,,,,
Maharashtra,SANGLI,2014,Whole Year ,Sugarcane,74500,8107100,108.82,838,1,36,13,24,67,,,,,,,,,,,
Uttar Pradesh,SAHARANPUR,2004,Kharif     ,Sugarcane,127284,8094753,63.6,642.3,1,42,8,26,61,,,,,,,,,,,
Uttar Pradesh,SAHARANPUR,2009,Kharif     ,Sugarcane,128136,8028489,62.66,549.2,1,42,8,26,61,,,,,,,,,,,
Gujarat,SURAT,2008,Whole Year ,Sugarcane,112400,7974000,70.94,911.1,1,42,12,28,54,,,,,,,,,,,
Uttar Pradesh,MEERUT,2002,Whole Year ,Sugarcane,127563,7963503,62.43,625.2,1,40,8,26,63,,,,,,,,,,,
Uttar Pradesh,MEERUT,2001,Whole Year ,Sugarcane,122707,7932762,64.65,661.7,1,40,8,26,63,,,,,,,,,,,
Uttar Pradesh,SAHARANPUR,2011,Kharif     ,Sugarcane,139043,7927676,57.02,777.4,1,42,8,26,61,,,,,,,,,,,
Maharashtra,SANGLI,2010,Kharif     ,Sugarcane,76300,7851300,102.9,1027.5,1,36,13,24,67,,,,,,,,,,,
Uttar Pradesh,SAHARANPUR,2002,Whole Year ,Sugarcane,135765,7839614,57.74,625.2,1,42,8,26,61,,,,,,,,,,,
Gujarat,SURAT,2003,Whole Year ,Sugarcane,102700,7717000,75.14,1160.3,1,42,12,28,54,,,,,,,,,,,
